character,degree_Marvel_characters
ADRIAN_TANYA,26
ADVA,124
ADVENT,36
ADVERSARY,120
ADVISOR,76
AEDER_PVT_MIKE,58
AEGIR,16
AEGIS,88
AEGIS_II,530
AEISH,38
AEL-DAN,36
AELTRI,16
AENEAS,50
AENTAROS,50
AERO,246
AFARI_JAMAL,60
AFRIKAA,62
AFTERBURNER,42
AFTERLIFE,20
AFTERSHOCK,188
AGAMEMNON,50
AGAMEMNON_II,234
AGAMEMNON_III,6
AGAMOTTO,246
AGED_GENGHIS,70
AGEE_DR_AUBREY,84
AGEE_REBECCA,36
AGENT,102
AGENT_III,68
AGENT_22,40
AGENT_AXIS,76
AGENT_KEY,54
AGENT_LANCELOT,54
AGENT_OF_1000_FACES,28
AGENT_R,100
AGENT_T-20,46
AGENT_THREE,22
AGENT_X,20
AGENT_X_II,180
AGENTZERO,24
AGENT-X,64
AGGAMON,80
AGHANNE,68
AGINAR,126
AGITATOR,32
AGNAR_OF_VANAHEIM,110
AGNAR_THE_FIERCE,38
AGNAR_KING_OF_THE_EAGLES,86
AGNEW_SPIRO_T,60
AGNI,32
AGON,38
AGONY,176
AGONY_II,12
AGUILAR_ROSALINDA,40
AGUIRRE_ISOBEL,44
AGUIRRE-SACASA_ROBERTO,22
AGUJA,76
AHPUCH,78
AHQLAU,42
AHURA,182
AI_APAEC,32
AINET,78
AINSLEY-JONES_KATHERINE,20
AIR_WALKER,38
AIR-WALKER,158
AIR-WALKER_DUPLICATE,22
AIRBORNE,34
AIRBORNE_II,104
AIREO,354
AIRHEAD,36
AISLINN,14
AITORO_GUS,70
AJAK,580
AJAX,32
AJAX_II,230
AJAX_III,40
AJES_HA,40
AKAFE,36
AKATORA,24
AKPAXA,56
AKULIA,48
AKUTAGAWA_OSAMU,18
AL_KADHDHAAB,26
AL_ARKOK,26
AL-ADIL_SAYF_AD-DIN_ABU_BAKR_AL-MALIK,30
AL-KHALAD_ACHMED,94
AL-SHALIZAR,26
AL-TARIQ_FAYSAL,8
ALADI_KO_EKE,40
ALANYA,50
ALARIC,52
ALARIC_ALEX,40
ALARIS,44
ALARNICK_LT,30
ALBAKOR,100
ALBASINI,10
ALBERGO_PVT_MIKE,40
ALBERICH,70
ALBERIK,58
ALBERT,128
ALBINO,28
ALBINO_JO,34
ALBINUS,32
ALBION,200
ALBUQUERQUE_JEREMIAH,16
ALCANTARA_CARMEN,18
ALCANTARA_GILBERTO,18
ALCHEMY,154
ALCMENA,30
ALD_THURMIS,10
ALDEBRON,58
ALDRIN_COL_EDWIN_EUGENE_BUZZ_JR,68
ALECTO,18
ALECTO_II,72
ALECTO_III,58
ALEGRIA_RICHIE,52
ALEX,82
ALEXANDER_THE_GREAT,14
ALEXANDER_CALEB,132
ALEXANDER_CARRIE,238
ALEXIS,66
ALFLYSE,50
ALFRED_EDWARD,22
ALFY,86
ALGERNON,74
ALGREN_PALMER,30
ALHAZRED_ABDUL,88
ALIBAR,80
ALICAR_MR,26
ALICAR_MRS,26
ALIGHIERI_DURANTE,26
ALIOTH,62
ALIST,24
ALISTAR_THE_ARCHIMAGE,22
ALISTRO,36
ALKHEMA,112
ALL-MOTHER,28
ALLAN_DORIS_RAXTON,22
ALLAN_WILSON,34
ALLARDINE_BEN,16
ALLEGRA,40
ALLEGRE_LUIS,90
ALLEN_DR_PAUL,30
ALLEN_ETHAN,18
ALLEN_RANDY,30
ALLEN_TERRY,28
ALLEYNE_CHRISTOPHER,56
ALLEYNE_DOROTHY,56
ALLEYNE_KIM,76
ALLGOD,16
ALLRED_ERVIL,10
ALLSWORTH_GORDON,120
ALLURE_ANN,32
ALKINOOS,10
ALOMII_BENJAMIN_SOLOMAN,28
ALOUETTE_GENARD,96
ALPHA,20
ALPHA_II,86
ALPHA_III,90
ALPHA_RAY,16
ALPHONSE,24
ALRAUNE_MARLENE,508
ALTER_EGO,12
ALTJIRA,32
ALTMAN_MRS,28
ALTURI,14
ALVARADO_KEEMIA,22
ALVAREZ_CARLY,50
ALVAREZ_FELIX,234
ALVAREZ_IGNACIO,16
ALVAREZ_PAUL,82
ALVAREZ_REINA,70
ALVAREZ_SOFIA,46
ALVES-COLE_SGT_RACHEL,42
ALYSSA,10
AMALGA-BEAST,26
AMALGAM,42
AMARU_TUPAC,44
AMATERASU,42
AMATSU-MIKABOSHI,330
AMAZING_SPIDER-MUGGER,46
AMAZON,66
AMAZON_II,186
AMAZON_III,56
AMBARA,42
AMBASSADOR,16
AMBROSE_SHYLA,10
AMBUR,18
AMENHOTEP,32
AMENHOTEP_IMPOSTER,30
AMENTAH,8
AMERGIN,38
AMERICAN_ACE,56
AMERICAN_EAGLE,462
AMERICAN_PANTHER,18
AMERICAN_SAMURAI,36
AMERICOP,42
AMERIDROID,60
AMINEDI,118
AMIR,108
AMISSA,70
AMMUT,10
AMPERE,12
AMPHARON,30
AMPHIBIUS,436
AMPHITRYON,70
AMPZILLA,66
AMSTERDAM_IAN,42
AMUN,32
ANACONDA,864
ANAIS,16
ANAIS_II,34
ANAK,136
ANAKALAK,52
ANALYZER,224
ANAMI_HIROSHI,40
ANANASTASIA,10
ANANSI_KWAKU,158
ANARCHIST,380
ANAZAR_PRIME,18
ANCESTOR,82
ANCIENT_ONE,610
ANCIENT_ONE_II,24
ANCIENT_ONE_III,20
ANDERS_GRETL,44
ANDERS_JOSHUA,42
ANDERS_TIMOTHY,48
ANDERSON_ALEX,24
ANDERSON_BAXTER,14
ANDERSON_CHARLES,40
ANDERSON_CHET,42
ANDERSON_CHIEF_MAGISTRATE_TAM,178
ANDERSON_CURLY,22
ANDERSON_DR_MURRAY,82
ANDERSON_GINA,56
ANDERSON_JOHN,76
ANDERSON_MARJORIE,42
ANDERSON_NICKY,42
ANDERSON_RICHARD,14
ANDERSON_VICTORIA,12
ANDERSSEN_TANYA,150
ANDREWS_COL.,8
ANDREWS_DARYL,92
ANDRO,12
ANDROID_MAN,54
ANDROMEDA,36
ANDROMEDA_II,614
ANDROS,54
ANDWELLA,32
ANEKA,102
ANELLE,104
ANESTHESIA,38
ANGAR,608
ANGEL,438
ANGEL_II,86
ANGEL_III,1984
ANGEL_IV,54
ANGEL_DUST,14
ANGEL_OF_DEATH,88
ANGELA,60
ANGELA_II,30
ANGELOPOULOS_ANGEL_III,22
ANGERBODA,38
ANGEVINE_JASPER,10
ANGKOR,18
ANGLER,134
ANGMO,40
ANGRIR,290
ANGSTROM_EARL,20
ANIELLE,20
ANIMATOR,52
ANIMATOR_II,22
ANIMUS_II,8
ANIMUS_III,12
ANITUN,28
ANITUN_II,30
ANKHI,2
ANNALEE,112
ANNAN_KOFI,134
ANNE,266
ANNEX,282
ANNIE,66
ANNIHILUS,644
ANNIHILUS_II,40
ANOLE,804
ANOMALY,70
ANON_LORD,58
ANSELM_PAUL,72
ANSKAR,30
ANSWER,588
ANSWER_II,20
ANT-MAN,326
ANT-MAN_II,1416
ANT-MAN_II_61108,68
ANT-MAN_III,680
ANTEUS,102
ANTHEM,388
ANTHONY_MAX,34
ANTHONY_SALVADORE_VERASCE_SAL,38
ANTHROPOMORPHO,128
ANTI-BEING,52
ANTI-CAPTAIN_AMERICA,48
ANTI-MAN,34
ANTI-MATTER,30
ANTI-PHOENIX,38
ANTI-PRIEST,50
ANTI-VENOM,238
ANTIGONE,50
ANTIPHON,26
ANTIQUARY,20
ANTOINETTE_MARIE,48
ANTONIO,112
ANTORO,40
ANTRO,100
ANU,130
ANUBAR_ANWAR,58
ANUBIA,30
ANUBIS,16
ANULA_LADY,6
ANVIL,32
ANVIL_II,80
ANVIL_III,32
AO_JUN,18
AP_LORWERTH_PROF_DAFYDD,30
APACHE_KID,22
APACHE_KID_II,26
APE,12
APE_II,208
APE_MAN,38
APE_X,68
APE-MAN,112
APE-MAN_II,26
APE-MAN_III,176
APOCALYPSE,842
APOCALYPSE_CLONE,32
APOCRYPHUS,116
APOLLO,560
APOLLO_CORA,28
APOLLYON,98
APPALLA,38
APPARITION,8
APPLEBAUM_PHANTASY,26
APPRAISER,40
APTAK,68
AQHAT,90
AQQUOONKAGUA,10
AQUARIA,12
AQUARIAN,524
AQUARIUS,140
AQUARIUS_LMD,126
AQUARIUS_II,74
AQUARIUS_III,72
AQUARIUS_IV,60
AQUARIUS_V,98
AQUEDUCT,598
AQUON,18
AQUON_II,54
AQWEN,38
AR-HAP,18
ARAB,72
ARABIAN_KNIGHT,546
ARABIAN_KNIGHT_II,10
ARABIAN_KNIGHT_III,82
ARACHNE,86
ARACHNE_II,100
ARACHNE_III,268
ARACHT'YR,34
ARADNEA,20
ARAGORN,684
ARAGORN_II,72
ARAK,10
ARAK_II,48
ARAKI,234
ARAKI_IMPOSTER,156
ARAKI_II,22
ARAKI_6,244
ARAKI_7,120
ARALUNE,214
ARANA,404
ARATH,38
ARBOGAST_BAMBINA_TERESA_BLISS,848
ARC,40
ARC_II,146
ARC_LIGHT,4
ARCADE,722
ARCADIUS,112
ARCENAUX_ANTOINELLE,20
ARCENAUX_EMERY_JAMES,20
ARCH-E-5912,200
ARCHAEOPTERYX,92
ARCHANGEL,3202
ARCHANGEL_DOPPELGANGER,208
ARCHANGEL_II,88
ARCHER_ULYSSES_SAMSON,98
ARCHIE,50
ARCHIMEDES,26
ARCHITECT,30
ARCHITECT_II,32
ARCHITECT_III,48
ARCHIVIST,42
ARCHON,24
ARCLIGHT,706
ARCTURUS,38
ARCTURUS_II,20
ARDINA,120
ARES,1764
AREX,160
ARGENT,166
ARGENTO_ALEX,54
ARGENTO_TONY,16
ARGON,24
ARGOS,52
ARGOS_II,36
ARGOSY_HERVE,32
ARGUS,154
ARIA,66
ARIADNE,12
ARIANE,12
ARIDES,18
ARIEL,64
ARIEL_II,384
ARIEL_III,214
ARIES,90
ARIES_II,132
ARIES_II_LMD,126
ARIES_III,32
ARIES_IV,72
ARIES_V,60
ARIES_VI,98
ARION,48
ARISHEM,596
ARIZE,108
ARIZONA_GIRL,6
ARKANIAN_GLIB,58
ARKIN,72
ARKO,108
ARKON,358
ARLINGTON_DR_MARCUS,30
ARLISS_CLIFTON,20
ARLISSE,34
ARMADA,20
ARMADA_II,204
ARMADILLO,824
ARMAGEDDON,134
ARMAGEDDON_MAN,34
ARMAK,20
ARMAND,22
ARMAROS,28
ARMAZIEL,22
ARMBRUSTER_COLONEL_JOHN_D,112
ARMLESS_TIGER_MAN,102
ARMOR,590
ARMORY,30
ARMORY_II,120
ARMOUR,62
ARMS_MERCHANT,58
ARMSTRONG_MYRA,58
ARMSTRONG_NEIL_ALDIN,68
ARMSTRONG_URSULA,22
ARNDT_JOSH,20
ARNHEIM_STACY,180
ARNO,108
ARNOLD_LARRY,104
ARNOLD_LATISHA,68
ARNSTROM,48
AROCHA_TATIANA,18
AROKIND,20
ARON,326
ARRAKHYL,66
ARRANGER,296
ARRANGER_II,22
ARSENAL,116
ARSENAL_II,22
ARSENAL_ALPHA,28
ARSENIC,120
ARSENIC_II,152
ARTEMIS,214
ARTHUR_CHESTER_A,22
ARTUME,106
ARTYS-GRAN,50
ARULATAQ,6
ARVAK,18
ARYAN,78
ASBERY_SHAMARI,40
ASBESTOS_LADY,58
ASBESTOS_MAN,52
ASGARDIAN,60
ASH_BRANDY,30
ASHAKE,46
ASHCROFT_VANESSA,72
ASHEMA,98
ASHER_CARL,22
ASHER_DONNA,18
ASHER_MICHAEL,52
ASHIDA_KEITARO,56
ASHIDA_SEIJI,74
ASHIDA_SUKI,56
ASHIROV,24
ASHIROV_AYISHA,24
ASHIROV_MARIKA,24
ASHLEY,42
ASHLEY_SHERMAN,22
ASHU_KIMEIKO,118
ASHUR,30
ASHWOOD_VANESSA,42
ASKARI,40
ASKE,102
ASKELLA,74
ASKID,22
ASKLEPIOS,20
ASLAK,42
ASMODEUS,36
ASMODEUS_II,86
ASP,28
ASP_II,850
ASSASSIN_II,28
ASSASSIN_III,8
ASSAULT,28
ASSAULT_II,26
AST,68
AST_II,176
ASTARTE,24
ASTER_LUCIAN,88
ASTEROTH,18
ASTI,64
ASTRA,312
ASTRA_II,30
ASTRA_III,120
ASTROLOGER,22
ASTRON,12
ASTRONOMER,98
ASTROVIK_ARNOLD,194
ASTROVIK_NORMA,240
ASTROVIK_VANCE,248
ASTROYEVICHT_JERZY,52
ASUZA,26
ASYLUM,74
ASYLUM_II,210
ATALANTA,344
ATHEIST,22
ATHELSTANE,22
ATHENA,566
ATHMAR PHONG,12
ATHOS,24
ATKINS_REGINALD,8
ATKINSON_MAJ_EDMOND,42
ATLAN,42
ATLANTA_DR_THERON,50
ATLAS,84
ATLAS_II,10
ATLAS3,1178
ATLEZ,62
ATOM_SMASHER,58
ATOM_SMASHER_II,34
ATOM-SMASHER,50
ATOMIC_LOU,42
ATOR_GENERAL,106
ATRA,64
ATROCITY,64
ATROPOS,276
ATTILA_THE_HUN_IMPOSTER,34
ATTRACTIVE_LAD,98
ATTUMA,892
ATTUMACHT,30
AUBUISSON_ANTON,42
AUCTIONEER,20
AUDIT,88
AUGUST_PERSONAGE_IN_JADE,98
AUGUST_PERSONAGE_IN_JADE_II,176
AUNTIE_FREEZE,28
AURA,182
AURA_II,98
AURIC,230
AURORA,1332
AURORA_DOPPELGANGER,232
AUSTIN_ADAM,46
AUSTIN_GEN,34
AUSTIN_JAKE,48
AUSTIN_SUSAN,390
AUSTIN_TERRY,72
AUTEUR,236
AUTHIER_POLICE_CHIEF,84
AUTHIER_TRACY,70
AUTHORITY,48
AUTOLYCUS,260
AUTOMATON,30
AV-ROM_CAPT,50
AVALANCHE,1074
AVALON,28
AVALONIA,132
AVANDALIA,46
AVARRISH,76
AVATAR,30
AVATAR_II,16
AVERY_CARLTON,18
AVIA,132
AVIA_II,44
AVIATRIX,24
AVIOS,174
AVIUS,60
AVOE,40
AVONA,148
AVRIL,158
AVRIL_YVETTE,96
AWARENESS,8
AWESOME_ANDROID,762
AWF,56
AXE,98
AXE_OF_VIOLENCE,46
AXEMAN_BONE,120
AXIS,32
AXIS_ANNIE,54
AXON,78
AXONN-KARR,16
AYALA_CARLOS,22
AYALA_FILIPPO,36
AYALA_MARIA,56
AYALA_MELISSA,16
AYALA_NESTOR,34
AYALA_SOLEDAD,34
AYELAH,40
AYERS_DICK,60
AYESHA,30
AYMER_PRIOR,22
AZAZEL,46
AZAZEL_II,64
AZAZEL_III,28
AZIR,46
AZOPARDI,6
AZOR,16
AZRAEL,78
AZRAEL_II,2
AZURE,22
B_ARR,44
B_GALI_DR,28
B_GON,6
B_KOSA_GEN_JONATHAN,22
B-1,18
BA_AL-HADAD,78
BAAL,12
BAAL_II,22
BABA YAGA,12
BABBAGE_GEN,90
BABE,80
BABET,34
BABY_ICON,16
BABYFACE,4
BACH_HELEN,20
BACHALO_CHRIS,42
BACILLUS,52
BACKBREAKER,4
BACKUS_ROZALYN,54
BACON_PVT,40
BAD_GUY,28
BAD_HAND,64
BAD_TIMING,42
BADALAMENTE_JESUS,146
BADD_AXE,248
BADGAL,36
BADGER_TEETH,12
BADILINO_MICHAEL,346
BAHB,42
BAHR_ALI,34
BAILEY_GAILYN,216
BAILEY_JOEY,216
BAILEY_PAUL,54
BAILEY,174
BAILIFF,20
BAIO_SCOTT,12
BAIRD_DR,28
BAKER,24
BAKER_ANNE-MARIE,120
BAKER_FLOYD,20
BAKER_GINNY,18
BAKER_LEE,46
BAKER_MRS,32
BAKER_VANESSA,16
BAKUTO,14
BAL_CYPHYRO,16
BALABAN,28
BALANCE,54
BALDER,1690
BALDINI_ANGELO,74
BALDRIC,16
BALDWIN_JUSTIN,428
BALDWIN_MADELYNE_NAYLOR,540
BALE_EMERSON,100
BALINOR,18
BALKIN_FRANK,24
BALLANTINE_DEVON,52
BALLANTINE_KAYLA,566
BALLANTINE_MR,88
BALLANTINE_MRS,40
BALLARD_AMANDA,14
BALLINGER_LENNY,330
BALLISTIK,30
BALLISTIQUE,38
BALLORS_MATT,104
BALOR,64
BALTHAKK,86
BALTIMORE_TERI,52
BAMBI,34
BAN-LUCK,102
BANARA,22
BANCROFT_LES,64
BANCROFT_MARTINE,174
BANDER_THOMAS,20
BANDIT,238
BANG,12
BANGS,36
BANK_IRVING,14
BANKS_JENNIE,50
BANKS_SHARON,90
BANNER_BETTY_ROSS_TALBOT,1228
BANNER_BRIAN,154
BANNER_PAUL,22
BANNER_REBECCA,80
BANNER_ROBERT_BRUCE_JR_807128,132
BANNER_SUSAN_DRAKE,18
BANNERJEE_DR,22
BANNERMAN_BROWN,148
BANNERMAN_GREEN,148
BANNERMAN_WHITE,10
BANNISTER_BARBRA,42
BANNON_LANCE,440
BANSHEE,230
BANSHEE_II,1684
BANSHEE_III,204
BANTAM,26
BANTOCK_LT_OLIVER,32
BANWAY_SIR_GEORGE,16
BANZAI,30
BARAK,48
BARB,26
BARBARA_NURSE,28
BARBARIC,30
BARBAROSSA_MARIO,38
BARBAROSSA_VINNIE,72
BARBARUS,472
BARBATO_ANGELA,30
BARBATOS_ROGER,26
BARBICAN,66
BARCLAY_BRENDA,56
BARDHAM_DR_JUDAS,42
BARIUM,86
BARKER,16
BARKER_MATTHEW_T,18
BARNABUS_CHARLES,22
BARNACLE,204
BARNES_JAMES_BUCHANAN,26
BARNES_JOHN,36
BARNETT_DR_MIKE,128
BARNETT_GEOFFREY,12
BARNETT_PHILIP,100
BARNEY,84
BARNONK,18
BARON,26
BARON_BLOOD,324
BARON_BLOOD_DUPLICATE,66
BARON_BLOOD_II,174
BARON_BLOOD_III,174
BARON_BRIMSTONE,84
BARON_HINDEN,12
BARON_GOTHENVALD,44
BARON_KARZA,224
BARON_KORDA,16
BARON_MACABRE,16
BARON_MORDO,26
BARON_MORDO_II,584
BARON_OF_HORROR_CASTLE,16
BARON_SAMEDI,6
STRUCKER,1348
BARON_STRUCKER_CLONE,172
BARON_STRUCKER_LMD,36
BARON_STRUCKER_ROBOT,54
BARON_VON_BLITZSCHLAG,546
BARON_VON_STALER,8
BARON_ZEBEK,38
BARONE,48
BARONESS_BLOOD,46
BARONESS_KRIEG,14
BARONESS_MORDO,34
BARONESS_SABBAT,24
BAROSHTOK,26
BARR_ROSEANNE,48
BARRACUDA,180
BARRAGE,140
BARRANCO_MARIA_ESMERALDA,26
BARRENOS_OMAR,116
BARRET_GLENN,30
BARRETT_WALTER,62
BARRICADE,14
BARRIER,46
BARRIGAN_BO,28
BARRINGTON,32
BARRINGTON_MAJ_ARTHUR,100
BARROAS,20
BARRON_GEN_LINC,42
BARRON_RICK,52
BARROW_CHAD,14
BARROWS_FAITH,38
BARROWS_WALTER,16
BART_JIMMY,62
BART_SADIE,38
BARTHELMY_PETER,10
BARTLETT_STU,54
BARTO_DR_HILLMAN,66
BARTON_BARNEY,68
BARTON_EDITH,38
BARTON_HAROLD,38
BARTON_LUCY,18
BARTON_SEN,18
BARTOS,58
BAS-FOR_LT,30
BASALLO,74
BASALTAR,58
BASE,78
BASENJI,18
BASH,8
BASHER,56
BASILISK,190
BASILISK_PROTO-HUSK,40
BASILISK_II,34
BASILISK_III,24
BASILISK_IV,78
BASILISK_V,10
BASILISK_VI,64
BASKERVILLE_SIR,16
BASKIN_JOANIE,32
BASKIN_MITCH,32
BASQUE,46
BASS,40
BASS_SGT,4
BASTELLI_MARTIN,20
BASTELLI_MARY,20
BASTELLI_MR,20
BASTELLI_MRS,20
BASTET,36
BASTION,628
BAT,14
BATAGA,20
BATAL,32
BATEMAN_JASPER,10
BATES_BRUISER,26
BATES_WILLIAM_NATHANIEL,16
BATOR_ULAN,26
BATRAGON,24
BATROC,1126
BATSON_BILLY,22
BATTALUS,40
BATTERING_RAM,80
BATTERY,28
BATTLE_LAMARR,34
BATTLE_MONTGOMERY,90
BATTLEAXE,144
BATTLEAXE_II,52
BATTLEAXE_III,376
BATTLEAXE_IV,62
BATTLER,16
BATTLESCAR,26
BATTLES,752
BATWING,598
BAUER_JUDE,70
BAV-TEK,26
BAXTER,16
BAXTER_ABIGAIL,56
BAXTER_COL_BOB_BUZZ,130
BAXTER_NOAH,86
BAXTER_PATSY_WALKER,294
BAXTER_RACHEL,24
BAXU,6
BAYARD_THOMAS_FRANCIS,14
BAYER_MIRANDA_L,28
BAYLOR_FRANK,18
BAYMAX,240
BAZIN_ALLEGRA,190
BAZIN_ANDREW,56
BAZIN_BRODERICK,148
BAZIN_PHILLIPPE,162
BEAK,24
BEAK_II,156
BEAKER_DR_HAROLD,20
BEALE_ERIC,54
BEALER_DAVE,40
BEAME_ABRAHAM,66
BEAN,56
BEAN-NIGHE,22
BEAR,20
BEAR_MAN,50
BEASELY_ROCKY,52
BEAST,5616
BEAST_DOPPELGANGER,172
BEAST_DOPPELGANGER_II,244
BEAST_DOPPELGANGER_III,20
BEAST_IMPOSTER,188
BEAST_II,162
BEASTMASTER,62
BEATRICE_CARLTON,26
BEAUMONT_SPENCER,42
BEAUTIFUL_DREAMER,246
BEAUTY,182
BEBEN,8
BECK,26
BECK_JULIAN,76
BECKFORD_NOEL,40
BECKLEY_ANN,42
BECKLEY_BENNY,74
BECKLEY_ROSEMARY,70
BECKMAN_CHARLES,10
BECKMAN_JOSEPH,10
BECKMAN_LISA,10
BECKMAN_SARAH,10
BEDELSTRAUM,8
BEDFORD_BRAD,12
BEDLAM,38
BEDLAM_II,30
BEDLAM_III,344
BEDLAM_IV,126
BEEF,232
BEEFCAKE,36
BEEFER,98
BEEMER,28
BEEMER_BRADLEY,74
BEERE_JASON,40
BEETLE,20
BEETLE_II,1028
BEETLE3,134
BEETLE_IV,38
BEETLE_ROBOT,96
BEETROOT,46
BEHEMOTH,36
BEHEMOTH_II,30
BEHEMOTH_III,66
BEHEMOTH_IV,98
BEITZ_GEN_BRUNO,54
BEKK,42
BEL-DANN_GEN,136
BELASCO,336
BELDAME,48
BELDEN_MARLENE,22
BELGIAN_BRAIN,56
BELGRADE_DR_HORATIO,36
BELIAL,40
BELIT,20
BELL_HERBERT,44
BELLADONNA,30
BELLADONNA_DUCHESS,98
BELLAM,148
BELLAMY_DIANE,108
BELLE,40
BELLE_II,18
BELLONA,106
BELLUSK,10
BEN_AR_ALI,8
BEN_AR_CALIPH_ABU,8
BEN_SAID_SHIEKH_HASSIM,6
BENASSI_MARCO,42
BENAZA,12
BENCHLEY,36
BENDER_HARRY,18
"BENDIS, BRIAN MICHAEL",4
BENDIX_AMY,50
BENDIX_DR_ALBERT,30
BENDIX_HARRY,56
BENEDICT,94
BENEDICT_ANDREW,34
BENES_PROF_SIMON,42
BENGAL,546
BENJAMIN_BYRON,68
BENNETT_DANNY,22
BENNETT_DEXTER,236
BENNETT_JOE,46
BENNETT_MITCH,22
BENNING_DR,136
BENNING_VERONICA,132
BENNY_JAKE,20
BENSON_BIGGIE,12
BENSON_DOC,54
BENTLEY_23,284
BENTLEY_MILES,26
BENTLEY_VICTORIA,262
BENTON_TERRY,32
BENWAY_DR,36
BEOWULF,8
BERDITCHEV_ITZHAK,20
BEREET,252
BERENGARIA,18
BERENGETTI_MICHAEL,148
BERENGHETTI_SUSAN,102
BERGER_PROF,50
BERGIER_LUKE,70
BERGIER_REBECCA,118
BERGLUND_GEN,30
BERGSON_NINA,38
BERKELEY_TRAVIS,64
BERMAN_ADAM,12
BERNARD_THE_POET,84
BERNHARD_CLARICE,18
BERRY_CHUCK,18
BERRY_LT_COL,14
BERSERKER,24
BERSERKER_II,20
BERSERKER_III,150
BERSERKER_7,38
BERTHA,72
BERTRAM,42
BERTRAM-HAYES_AMELIA,14
BERYL,36
BERYLLIUM,128
BES,106
BESSY,168
BESTLA,108
BESTMAN_GREGORY,22
BETA,20
BETA_BEAST,16
BETA_RAY_BILL,964
BETE_NOIR,22
BETELHEIM_NORMA,18
BEVATRON,238
BEY_JAMEEL,42
BEYNON_DR_BRADLEY,24
BEYONCE,14
BEYOND,730
BEXLEY,44
BHADSHA,64
BI-BEAST,22
BI-BEAST_II,316
BIA,104
BIANDU,40
BIBLE_JOHN,36
BIG_BEN,156
BIG_BERTHA,604
BIG_BOY,40
BIG_BROTHER,26
BIG_CASINO,84
BIG_ELMO,18
BIG_GUY,14
BIG_M,102
BIG_MAN_II,58
BIG_ONE,54
BIG_PEARL,16
BIG_WHEEL,334
BIG_ZERO,56
BIGGERS_MELVIN,28
BIGGS_LT,40
BIGMAN_LARRY,24
BILE,214
BILITIS,58
BILLUPS_CLETE,76
BILLY,36
BILLY_THE_KID,38
BINARY,560
BINDERUP,106
BIOHAZARD,24
BIOHAZARD_II,62
BIOSHIP,104
BIOTRON,136
BIOTRON_II,38
BIRD,46
BIRD-MAN,112
BIRD-MAN_II,162
BIRD-MAN_II_PROTO-HUSK,40
BIRD-MAN_III,82
BIRD_TUESDAY,8
BIRDBRAIN,116
BIRDLING_GLENN,14
BIRDY,58
BIRI,46
BISHOP,32
BISHOP_II,20
BISHOP_III,34
BISHOP_IV,72
BISHOP_BILL,160
BISHOP_DEREK,178
BISHOP_LUCAS_1191,1828
BISHOP_SUSAN,52
BISON,78
BISON_II,218
BITMAP,68
BITNER_GENE,82
BIVINS_SPEED,18
BIZEN,10
BLACK_ABBOT,158
BLACK_AVENGER,68
BLACK_AXE,38
BLACK_BARON,18
BLACK_BARON_II,12
BLACK_BISHOP_II,342
BLACK_BLADE,34
BLACK_BLADE_II,154
BLACK_BOLT,1794
BLACK_BOLT_DOPPELGANGER,20
BLACK_BOLT_IMPOSTER,144
BLACK_BOX,46
BLACK_BRIGADE,88
BLACKCAT,1594
BLACK_CRANE,56
BLACK_CROW,352
BLACK_CURATOR,6
BLACK_DEATH,16
BLACK_DEATH_II,56
BLACK_DEATH_II_IMPOSTER,20
BLACK_DRAGON,26
BLACK_DRAGON_II,74
